Property_Title,Address,Market,Street_Address,City,State,Zip,Property_Type,Tax_Rate,SQFT_Basement,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,Layout,Neighborhood_Rating,Latitude,Longitude,Subdivision,School_Average
"875 Davis Overpass Suite 394, South Kathrynside, CO 35116","875 Davis Overpass Suite 394, South Kathrynside, CO 35116",Chicago,875 Davis Overpass Suite 394,South Kathrynside,CO,35116,SFR,2.95,367,1921,1110,5649,Street,2,3,Split,2,38.415818,-81.853842,Manors,9.09
"1159 Johnson Pass Apt. 567, South Jamesfurt, MN 60391","1159 Johnson Pass Apt. 567, South Jamesfurt, MN 60391",Dallas,1159 Johnson Pass Apt. 567,South Jamesfurt,MN,60391,Single Family Home,1.75,284,1995,1184,5119,Driveway,2,2,Colonial,3,35.329786,-105.265714,Cliff,7.71
"9082 Anna Villages Apt. 511, Port Juanshire, VI 22393","9082 Anna Villages Apt. 511, Port Juanshire, VI 22393",Tampa,9082 Anna Villages Apt. 511,Port Juanshire,VI,22393,Townhouse,2.19,283,1952,2492,7606,Driveway,5,2,Ranch,3,36.793896,-77.250254,Square,6.04
"86578 Lawson Park Suite 865, South Brianfurt, DC 90366","86578 Lawson Park Suite 865, South Brianfurt, DC 90366", Closed,86578 Lawson Park Suite 865,South Brianfurt,DC,90366,Duplex,3.39,1927,1937,2586,4822,Street,1,2,Ranch,3,35.456811,-85.460902,Springs,3.44
"309 Roy Brook Apt. 282, Lake Scott, FL 84478","309 Roy Brook Apt. 282, Lake Scott, FL 84478",Tampa,309 Roy Brook Apt. 282,Lake Scott,FL,84478,Townhouse,2.2,1904,1991,1200,9191,Garage,5,4,Split,2,41.066408,-82.300397,Brooks,9.01
"262 Smith Underpass Apt. 795, West Craig, MO 04888","262 Smith Underpass Apt. 795, West Craig, MO 04888",Tampa,262 Smith Underpass Apt. 795,West Craig,MO,4888,Single Family Home,2.4,315,1970,1368,3538,Street,2,4,Ranch,5,39.720854,-114.488908,Mountain,7.25
"1150 Horn Street, Lake Nicole, WA 53234","1150 Horn Street, Lake Nicole, WA 53234",Dalas,1150 Horn Street,Lake Nicole,WA,53234,SFR,2.88,1236,1932,1318,5782,Garage,2,3,Ranch,5,36.94483,-111.764591,Coves,6.48
"357 Huff Passage Apt. 252, Adkinsview, GU 91982","357 Huff Passage Apt. 252, Adkinsview, GU 91982", Closed,357 Huff Passage Apt. 252,Adkinsview,GU,91982,Duplex,1.57,1110,1997,2397,6253,Street,4,4,Split,4,33.458427,-110.240632,Mountains,5.41
"48819 Morales Glen Suite 806, South Debra, PW 71480","48819 Morales Glen Suite 806, South Debra, PW 71480",Dalas,48819 Morales Glen Suite 806,South Debra,PW,71480,SFR,1.6099999999999999,1081,1948,1035,7209,Garage,5,4,Split,2,33.803862,-113.575636,Plain,4.05
"53324 Erin Square Suite 256, Jasminshire, NM 55339","53324 Erin Square Suite 256, Jasminshire, NM 55339",Chicago,53324 Erin Square Suite 256,Jasminshire,NM,55339,Condo,1.1400000000000001,967,1920,2452,9947,Street,6,2,Split,1,38.33672,-116.141318,Mount,6.68
