Reviewed_Status,Most_Recent_Status,Source,Net_Yield,IRR
 Closed,Closed,Internal,3.5300000000000002,14.48
Reviewed,Cancelled,Auction.com,6.59,22.92
 Closed,Pending,Opendoor,5.24,21.17
 Closed,Cancelled,M.L.S.,9.65,14.12
 Closed,Cancelled,M.L.S.,2.88,17.24
 Closed,Always Kick,Bulk,9.53,14.41
 Closed,Pending, MLS,17.03,16.51
 Closed,Pending, MLS,6.08,15.27
Closed,Pend,Bulk,14.87,26.93
 Closed,Available,Internal,11.3,19.13
New,Available,Opendoor,9.75,6.85
 Closed,Cancelled, MLS,2.93,23.81
 Closed,Closed,M L S,14.32,28.91
Cancelled,Cancelled,Broker,18.58,25.92
Neww,Closed,Opendoor,5.04,27.11
Accepted Offer,Cancelled,Broker,8.69,7.9
Closed,Available,Broker,16.34,26.45
 Closed,Always Kick,Opendoor,8.63,29.95
 Closed,Available,M L S,17.59,25.16
Accepted Offer,Close,Broker,12.2,14.2
 Closed,Pending, MLS,13.62,16.8
 Closed,Close,M L S,18.63,14.47
Offered,Available,Auction.com,14.17,23.27
 Closed,Cancelled,Auction.com,19.61,7.98
Accepted Offer,Close,M.L.S.,18.21,18.21
Cancelled,Pend,Internal,11.81,16.39
Neww, Close ,M.L.S.,5.4,9.87
 Closed,Cancel,Bulk,9.76,16.15
Cancelled,Close,Auction.com,2.96,5.1
Offered,Pending,Broker,6.07,21.42
Offered,Pending,Internal,6.08,27.66
Offered,Closed,M.L.S.,14.22,29.89
 Closed,Closed,M L S,19.88,28.34
Cancelled,Pending,M L S,4.49,23.16
Offered,Pending,M L S,3.29,20.79
 Closed,Kick,M L S,6.11,9.6
 Closed,Closed,M L S,10.12,27.34
 Closed,Always Kick,Auction.com,5.49,21.81
Accepted Offer, Close ,Opendoor,5.27,18.83
Offered,Cancel,Broker,2.71,26.22
 Closed,Available,M L S,4.01,28.2
Reviewed,Close,Broker,11.23,7.65
Cancelled,Cancelled,Broker,17.17,24.4
Offered,Kick, MLS,16.99,17.59
Accepted Offer,Close,M.L.S.,14.59,10.15
 Closed,Kick,Bulk,12.59,24.92
New,Close,Bulk,6.48,26.08
 Closed,Closed,Opendoor,13.02,12.63
 Closed, Close ,Auction.com,18.93,16.87
Cancelled,Pending,M L S,6.77,26.12
Accepted Offer,Cancelled,Internal,17.93,17.48
New,Pending,M.L.S.,3.92,9.42
Cancelled,Cancelled,Broker,4.39,15.26
 Closed,Pending,Broker,3.29,28.66
 Closed,Close,Opendoor,4.41,28.95
Accepted Offer,Kick,M L S,18.27,5.18
 Closed,Pending,Bulk,14.66,26.38
 Closed,Pending,Internal,3.86,13.52
 Closed,Pending,M L S,8.95,18.91
 Closed,Always Kick,Opendoor,3.76,14.3
 Closed,Pending,M L S,12.51,12.03
Reviewed,Closed,Bulk,8.34,8.7
Closed,Pending,Auction.com,7.35,25.43
New, Close , MLS,8.32,7.31
Reviewed,Pending,Opendoor,18.48,26.27
Reviewed,Pending,M L S,10.42,21.22
Accepted Offer,Available,Bulk,8.49,25.72
Neww,Kick,M.L.S.,7.65,25.31
Cancelled,Pend,M.L.S.,6.5600000000000005,10.01
Closed,Available,Opendoor,9.51,8.46
Neww,Cancel,Opendoor,16.63,9.11
Neww,Pending,M.L.S.,2.35,16.4
Offered,Kick, MLS,5.9,13.48
 Closed,Available,M L S,14.83,27.09
New,Available,M.L.S.,4.26,23.58
Neww,Cancelled,M L S,10.27,29.08
Cancelled,Closed,Internal,14.16,7.79
Neww,Kick,Bulk,15.8,22.12
Accepted Offer,Cancel,M.L.S.,18.07,12.49
 Closed,Pending,M.L.S.,19.0,15.74
Neww,Always Kick,M L S,12.65,9.96
Offered,Pend,M L S,7.21,24.07
New,Available,Auction.com,3.7199999999999998,6.54
Offered,Pending,M L S,7.76,24.85
 Closed,Close,Internal,2.56,28.59
Cancelled,Available,Auction.com,10.33,23.03
 Closed,Pend,Auction.com,10.83,20.57
Cancelled,Close,Auction.com,7.23,18.2
Accepted Offer,Pending,Opendoor,13.39,9.5
New,Closed,Opendoor,10.35,19.95
New,Pending,Internal,15.11,22.69
Closed,Cancel,Broker,5.22,11.21
 Closed,Always Kick,M.L.S.,6.86,26.11
Closed,Kick,Auction.com,19.79,6.73
Closed,Pending,M L S,4.12,14.33
Closed,Pending,M L S,17.29,29.01
Offered,Cancel,M L S,10.26,22.27
 Closed,Pending,M L S,17.39,26.89
 Closed,Close,Broker,8.1,26.63
New,Pending,Auction.com,3.08,10.17
Closed,Cancelled,M L S,4.24,15.46
Offered,Pending,Internal,12.34,15.5
 Closed,Cancelled,Internal,14.33,26.26
Cancelled,Pend,Broker,12.8,25.66
Accepted Offer,Close,Auction.com,4.77,22.52
Reviewed,Cancel,Bulk,10.03,23.72
Offered,Close,Bulk,8.43,17.68
Cancelled,Pending,Opendoor,2.71,19.64
Closed,Cancel, MLS,2.99,20.63
 Closed,Available,M.L.S.,10.89,7.12
 Closed,Available,Auction.com,9.29,24.0
New,Closed,Opendoor,13.56,21.48
Reviewed,Pending, MLS,6.03,6.13
Reviewed, Close ,Opendoor,4.2,7.4
Reviewed,Kick,Internal,10.17,27.59
Closed,Pending,Internal,9.47,29.84
Reviewed,Cancelled,Auction.com,12.12,25.84
 Closed,Cancel,Opendoor,6.69,27.92
 Closed,Kick, MLS,16.02,8.46
Reviewed,Available,Broker,4.51,15.56
Accepted Offer,Always Kick,Opendoor,7.34,6.67
Closed, Close ,M L S,18.97,8.51
Cancelled,Closed, MLS,9.6,15.04
Neww,Pending, MLS,18.99,5.47
Cancelled, Close ,Broker,6.63,23.4
 Closed,Cancelled, MLS,16.93,19.31
Cancelled,Closed,Bulk,2.08,22.75
 Closed,Pending, MLS,2.47,25.51
 Closed,Kick,Opendoor,5.27,16.69
Offered,Closed,Opendoor,17.52,22.02
Neww,Kick,Auction.com,18.45,24.35
Cancelled,Pending,Broker,10.4,5.65
Cancelled,Closed,Bulk,3.44,13.72
 Closed,Close,Opendoor,14.37,18.71
 Closed,Cancelled,Bulk,11.68,12.75
Reviewed,Available,Internal,14.06,20.46
Neww,Closed,Opendoor,10.33,14.43
Offered,Pending,Auction.com,2.19,10.51
Reviewed,Close,Opendoor,7.96,27.61
 Closed,Pending,Bulk,3.01,5.96
Closed,Pending,Opendoor,5.61,21.92
 Closed,Pending,M L S,12.54,17.64
Offered,Pending,Bulk,19.28,27.44
Cancelled,Pend,Internal,9.51,5.41
Reviewed,Cancelled,Bulk,9.45,23.7
Neww,Pending, MLS,17.36,15.53
Offered,Pending,Auction.com,12.41,25.97
New,Pending, MLS,7.31,8.42
 Closed,Pend,M.L.S.,5.54,6.82
Reviewed,Pending,Auction.com,15.65,11.4
Neww,Closed,Internal,2.54,10.5
Accepted Offer,Cancelled,M.L.S.,19.94,21.41
New,Kick,Opendoor,12.31,17.38
Neww,Cancel,Internal,3.98,23.17
Offered,Pending,Auction.com,3.15,18.42
New,Pending, MLS,17.07,14.04
Offered,Always Kick,Internal,8.93,16.42
Closed,Pend,Bulk,13.0,23.52
Offered,Available, MLS,19.33,20.49
 Closed,Pend,M.L.S.,11.46,12.12
Closed,Pending, MLS,9.02,15.72
New,Kick,Auction.com,8.06,29.81
Offered,Close, MLS,5.15,14.43
 Closed,Cancelled,Opendoor,15.61,24.41
 Closed,Pending,M L S,5.95,21.03
Closed,Kick,Bulk,18.33,14.67
 Closed,Pending,M.L.S.,2.7,7.92
Accepted Offer,Close,Bulk,12.0,28.67
 Closed,Cancelled,Internal,9.08,9.57
Cancelled, Close ,Bulk,15.92,23.16
 Closed,Closed,M L S,4.46,19.94
Offered,Pending, MLS,16.15,7.8
Accepted Offer,Pending,Internal,3.11,10.77
Accepted Offer,Cancel,Internal,8.16,14.13
Neww,Pend,Opendoor,6.36,23.75
 Closed,Pend,M L S,18.07,25.09
Accepted Offer,Pending,Bulk,19.86,23.16
Closed,Cancelled,Broker,5.64,8.56
 Closed,Pending,M L S,5.58,19.62
Neww,Pending,Opendoor,10.56,22.77
Neww,Available,M L S,12.73,27.03
Cancelled,Available,Internal,15.54,5.35
Reviewed,Closed,Broker,15.22,25.85
Cancelled,Pending,Bulk,16.2,6.34
 Closed,Pending,Auction.com,9.45,22.71
Cancelled,Cancelled,M.L.S.,12.22,21.49
Closed,Available,Auction.com,7.37,21.86
Closed,Pend,Auction.com,12.41,14.78
Cancelled,Pending,M L S,2.71,24.69
Accepted Offer,Pending,M.L.S.,9.21,26.64
Closed,Close,Auction.com,2.06,16.02
New,Close,M.L.S.,13.94,11.29
Accepted Offer,Cancel,M.L.S.,16.98,5.27
Reviewed,Cancelled, MLS,5.01,9.82
 Closed,Kick,Broker,9.48,7.74
Offered,Closed,M L S,14.08,22.06
New,Kick,M.L.S.,2.15,29.6
 Closed,Cancel, MLS,10.1,19.43
 Closed,Pending,Bulk,8.44,9.03
 Closed,Pending,Broker,19.32,28.42
Accepted Offer,Pending,M.L.S.,14.87,7.85
Cancelled,Pending,M.L.S.,7.78,19.46
Accepted Offer,Available,Broker,10.8,13.77
Accepted Offer,Pending,M L S,16.9,25.13
New,Kick,M L S,18.98,21.16
Offered,Kick,M L S,9.41,12.65
Cancelled,Kick,Broker,6.49,28.33
Neww,Available,M L S,14.26,20.14
Neww,Pend,Bulk,5.34,15.85
 Closed, Close ,M L S,16.43,7.6
Closed,Pend,Auction.com,19.25,10.28
 Closed, Close ,M L S,12.64,11.85
Accepted Offer,Always Kick,Bulk,2.52,17.28
Accepted Offer,Closed,Bulk,4.7,26.79
New,Pending,Internal,13.92,28.74
Cancelled,Pending,Broker,15.01,6.07
 Closed,Pending, MLS,16.62,24.93
 Closed,Kick,Internal,5.71,9.31
Offered,Kick,Auction.com,15.77,25.76
Neww,Cancelled,Opendoor,12.94,5.29
 Closed,Available,Opendoor,19.58,23.22
 Closed,Cancel,Opendoor,14.25,10.87
 Closed,Cancelled,Bulk,19.07,17.62
Accepted Offer,Pending,Opendoor,7.59,6.27
Closed, Close , MLS,6.13,8.22
Neww,Kick,Bulk,6.29,29.26
Offered,Kick,Broker,2.66,19.94
Offered,Pending,M.L.S.,17.14,25.16
Reviewed,Cancelled,Broker,14.26,23.71
 Closed,Cancel,Bulk,8.7,24.05
Reviewed,Cancelled,Auction.com,19.02,22.97
Cancelled,Cancel,Auction.com,19.86,18.73
Neww, Close ,M L S,14.4,23.26
Neww,Close, MLS,19.97,9.59
 Closed,Cancelled,Auction.com,15.2,19.6
Neww,Close,Bulk,4.39,12.83
 Closed,Kick,Internal,14.26,15.71
 Closed,Pending,Broker,9.96,25.65
Offered,Cancel,Broker,3.19,23.27
Cancelled,Kick,Internal,14.62,17.79
 Closed,Pending,M L S,4.57,5.08
Reviewed,Available,Auction.com,9.05,27.32
Reviewed,Always Kick,Broker,5.92,14.65
New,Cancelled,Opendoor,9.94,23.9
Accepted Offer, Close ,M L S,19.85,10.91
 Closed,Pending, MLS,5.46,25.15
Offered,Pending,M.L.S.,11.26,18.67
Accepted Offer,Pend,M L S,2.8200000000000003,22.67
Closed,Kick,M.L.S.,18.91,11.5
Neww,Cancel,M.L.S.,17.03,28.3
Neww,Pending,M.L.S.,3.94,13.43
Closed,Available, MLS,2.41,21.6
New,Closed,Auction.com,7.65,29.06
 Closed,Cancelled,Internal,8.58,17.17
 Closed,Cancel,M L S,4.14,20.3
Reviewed,Kick,M.L.S.,14.85,29.68
Closed, Close ,M L S,9.93,6.82
Offered,Kick,M.L.S.,7.58,20.68
 Closed,Available,Bulk,3.03,7.26
 Closed,Cancel,M.L.S.,17.66,14.07
 Closed,Cancel,Auction.com,3.64,13.54
 Closed,Pending,Opendoor,16.96,10.04
New,Always Kick,Internal,6.34,24.35
Cancelled,Cancelled,Internal,16.82,20.67
New,Cancel, MLS,19.71,6.45
 Closed,Pending,Auction.com,13.23,25.39
Cancelled,Closed,Bulk,16.88,6.63
Neww,Pending,Broker,4.11,27.52
Accepted Offer,Kick,M L S,11.12,29.61
Cancelled,Pending,M L S,7.58,22.25
Reviewed,Closed,Opendoor,19.96,12.23
Cancelled,Kick,Opendoor,5.91,8.46
 Closed,Always Kick,Bulk,3.3,18.61
Closed,Pending,M.L.S.,5.69,25.08
Accepted Offer,Pending,Broker,13.04,18.16
 Closed,Cancelled,Bulk,18.33,7.69
New,Pend,Broker,6.08,14.92
Neww,Available,Auction.com,16.11,19.38
New,Cancelled,Auction.com,15.21,23.09
Neww,Pending,Bulk,19.11,8.46
Offered,Pending,Bulk,3.34,27.28
Offered,Close,M L S,6.38,15.21
 Closed,Always Kick,M L S,11.66,18.88
New,Pend,M L S,18.0,17.48
 Closed,Pending,Bulk,2.68,6.86
Offered,Pending,Broker,5.25,25.16
Closed,Cancel,Broker,4.1,6.52
New,Pending,M L S,14.2,27.8
Offered,Kick,M.L.S.,3.64,21.29
New,Cancel,M L S,13.12,25.55
Cancelled,Cancel,Internal,10.57,22.0
Cancelled, Close ,Bulk,18.69,14.21
Cancelled,Pending,Internal,16.57,24.4
Accepted Offer,Close,Bulk,6.24,18.94
 Closed,Cancel,Broker,11.79,5.37
Offered,Cancel,Broker,9.25,28.38
Accepted Offer,Available,Auction.com,14.19,15.25
Cancelled,Close,Auction.com,16.64,13.06
 Closed,Cancel,Opendoor,19.49,23.54
Accepted Offer,Pend,Opendoor,15.78,21.41
New,Cancel,Internal,19.64,28.73
 Closed,Cancelled,Opendoor,9.11,19.61
Offered,Closed,Internal,13.13,19.8
 Closed,Pending,Internal,12.38,10.6
 Closed,Kick,M.L.S.,6.82,12.83
Neww,Pending,Bulk,18.48,14.91
Reviewed,Pending,Broker,14.77,15.54
Accepted Offer, Close ,Opendoor,2.54,27.28
 Closed,Kick,M.L.S.,15.04,12.89
New,Cancelled,Internal,17.39,29.49
Accepted Offer,Closed,Broker,2.03,23.29
Closed,Available, MLS,3.91,21.11
Cancelled,Cancel,Bulk,15.18,15.35
Offered, Close , MLS,11.33,16.42
Offered,Pend,Broker,11.44,16.35
